Generation Max Avg Min
0 2 1.1 1 
1 4 1.7 1 
2 4 2.1 1 
3 4 3.0 2 
4 4 4.0 4 
5 4 3.7 1 
6 4 4.0 4 
7 4 3.5 1 
8 4 3.8 2 
9 4 3.7 1 
10 4 3.8 2 
11 4 3.8 2 
12 4 3.8 2 
13 4 3.7 1 
14 4 4.0 4 
15 4 3.7 1 
16 4 3.7 1 
17 4 3.5 1 
18 4 3.4 2 
19 4 4.0 4 
20 4 4.0 4 
21 4 3.7 1 
22 4 3.2 1 
23 4 3.1 1 
24 4 3.4 2 
25 4 4.0 4 
26 4 4.0 4 
27 4 3.7 1 
28 4 4.0 4 
29 4 4.0 4 
30 4 3.4 1 
31 4 4.0 4 
32 4 3.7 1 
33 4 4.0 4 
34 4 3.7 1 
35 4 3.8 2 
36 4 3.7 1 
37 4 4.0 4 
38 4 4.0 4 
39 4 4.0 4 
40 8 4.8 4 
41 8 5.4 2 
42 8 6.4 2 
43 36 10.8 8 
44 116 21.0 2 
45 116 26.6 2 
46 116 35.8 2 
47 180 78.2 32 
48 300 141.6 64 
49 300 159.6 40 
50 300 154.5 1 
51 300 127.8 2 
52 300 125.4 1 
53 300 113.5 1 
54 300 132.7 1 
55 300 152.3 4 
56 300 164.0 4 
57 300 128.7 1 
58 308 189.2 4 
59 532 179.4 1 
60 532 228.8 4 
61 532 180.9 1 
62 532 203.6 2 
63 532 215.7 1 
64 532 217.7 1 
65 532 262.0 4 
66 532 249.2 32 
67 532 249.5 1 
68 532 243.4 2 
69 532 266.4 2 
70 532 274.3 3 
71 532 230.9 1 
72 532 246.2 4 
73 532 226.4 1 
74 532 246.8 2 
75 532 262.5 1 
76 532 228.9 1 
77 532 272.5 2 
78 532 369.4 44 
79 544 333.9 1 
80 544 274.0 1 
81 544 262.9 2 
82 544 309.4 2 
83 544 265.3 1 
84 544 258.0 2 
85 544 258.4 2 
86 544 274.5 1 
87 544 240.3 1 
88 544 266.0 8 
89 544 315.1 1 
90 544 270.6 1 
91 544 410.2 2 
92 572 423.8 6 
93 572 313.8 2 
94 572 298.6 1 
95 572 299.4 4 
96 572 291.1 1 
97 572 288.7 1 
98 572 262.4 8 
99 572 264.9 1 
100 572 332.2 2 
101 572 269.8 2 
102 572 280.5 1 
103 572 279.8 2 
104 572 338.0 8 
105 572 324.4 4 
106 572 346.8 2 
107 572 284.6 2 
108 572 292.0 2 
109 572 295.0 24 
110 572 288.4 2 
111 572 292.0 2 
112 572 279.6 1 
113 652 417.8 34 
114 652 303.6 4 
115 652 406.7 1 
116 652 304.5 1 
117 652 339.1 1 
118 652 329.4 2 
119 652 331.6 1 
120 652 308.8 1 
121 660 431.4 2 
122 660 320.5 1 
123 660 345.9 1 
124 660 331.1 1 
125 660 345.9 1 
126 660 353.6 2 
127 660 363.9 1 
128 660 314.7 1 
129 660 289.7 1 
130 660 327.5 1 
131 660 373.8 4 
132 660 393.2 8 
133 660 405.4 2 
134 660 394.0 1 
135 660 321.4 1 
136 660 358.0 2 
137 660 365.3 1 
138 660 324.5 1 
139 660 450.4 4 
140 660 459.1 4 
141 660 408.7 2 
142 660 403.3 1 
143 660 364.8 1 
144 660 327.4 1 
145 660 426.7 1 
146 660 405.0 2 
147 660 457.2 1 
148 660 337.1 1 
149 660 436.1 2 
150 660 296.7 1 
151 660 391.9 1 
152 660 371.3 2 
153 660 349.7 1 
154 660 344.2 2 
155 660 335.5 1 
156 660 426.6 2 
157 660 424.0 2 
158 660 352.7 1 
159 660 436.9 4 
160 660 348.3 1 
161 660 421.0 2 
162 660 459.8 2 
163 660 343.4 1 
164 660 354.1 1 
165 660 393.5 1 
166 660 379.3 1 
167 660 393.2 1 
168 660 362.7 2 
169 660 360.7 1 
170 660 378.3 1 
171 660 364.0 1 
172 660 333.8 1 
173 660 381.9 1 
174 660 401.0 1 
175 660 376.6 1 
176 660 343.3 1 
177 660 336.1 1 
178 660 352.1 1 
179 660 335.0 1 
180 660 359.7 1 
181 896 418.2 1 
182 896 359.5 1 
183 896 411.9 1 
184 896 392.9 1 
185 896 421.5 3 
186 896 413.7 1 
187 896 450.9 4 
188 896 422.0 1 
189 896 364.9 1 
190 896 413.6 1 
191 896 437.2 4 
192 896 526.7 1 
193 896 387.9 1 
194 896 451.6 1 
195 896 343.8 1 
196 896 346.4 1 
197 896 343.5 1 
198 896 377.2 1 
199 896 370.2 1 
200 896 414.5 4 
201 896 358.7 1 
202 896 396.3 1 
203 896 384.3 1 
204 896 482.0 4 
205 896 433.3 1 
206 896 510.9 1 
207 896 429.3 1 
208 896 390.1 1 
209 896 367.1 1 
210 896 464.5 1 
211 896 319.1 1 
212 896 431.0 3 
213 896 428.1 1 
214 896 420.2 1 
215 896 402.8 1 
216 896 420.1 1 
217 896 458.7 1 
218 896 459.9 1 
219 896 347.8 1 
220 896 378.7 1 
221 896 410.4 1 
222 896 373.8 4 
223 896 458.2 1 
224 896 472.3 1 
225 896 399.9 1 
226 896 424.3 1 
227 896 380.8 1 
228 1168 540.8 2 
229 1168 455.9 1 
230 1168 490.5 1 
231 1240 551.8 1 
232 1240 479.0 1 
233 1240 621.2 144 
234 1240 623.3 1 
235 1240 516.1 1 
236 1240 574.0 1 
237 1240 633.2 1 
238 1240 676.5 1 
239 1240 592.6 1 
240 1240 614.9 4 
241 1240 643.5 3 
242 1240 629.8 1 
243 1240 595.0 1 
244 1240 677.3 1 
245 1240 605.7 1 
246 1240 792.0 1 
247 1244 736.9 3 
248 1244 648.9 1 
249 1244 636.6 1 
250 1244 692.7 1 
251 1244 513.0 1 
252 1244 577.8 4 
253 1376 653.0 8 
254 1376 656.3 1 
255 1376 681.6 1 
256 1376 604.3 3 
257 1376 581.8 1 
258 1376 565.7 3 
259 1376 764.0 4 
260 1376 675.2 6 
261 1376 738.0 1 
262 1376 624.4 1 
263 1376 685.2 1 
264 1376 761.9 1 
265 1376 666.3 3 
266 1376 653.9 1 
267 1376 655.1 1 
268 1376 718.6 6 
269 1376 652.2 4 
270 1376 660.4 1 
271 1376 758.3 1 
272 1376 791.9 3 
273 1376 657.2 1 
274 1376 721.4 1 
275 1376 729.9 80 
276 1376 693.5 1 
277 1376 622.5 3 
278 1376 695.9 1 
279 1376 684.8 1 
280 1376 711.1 1 
281 1376 633.0 1 
282 1376 621.0 1 
283 1376 650.1 1 
284 1376 740.6 4 
285 1376 700.1 1 
286 1376 656.8 4 
287 1376 599.1 3 
288 1376 736.2 2 
289 1376 590.1 2 
290 1376 629.9 1 
291 1376 614.9 1 
292 1376 681.9 1 
293 1376 795.4 2 
294 1376 675.1 1 
295 1376 738.7 1 
296 1376 630.4 1 
297 1376 649.3 1 
298 1376 677.7 1 
299 1376 679.0 4 
300 1376 561.2 1 
301 1376 616.9 2 
302 1376 668.7 1 
303 1376 613.1 1 
304 1376 784.5 1 
305 1376 761.2 6 
306 2052 867.0 2 
307 2052 859.9 3 
308 2052 998.5 3 
309 2052 817.3 6 
310 2052 747.9 1 
311 2052 885.7 1 
312 2052 870.3 1 
313 2052 910.8 1 
314 2052 828.0 4 
315 2052 782.8 4 
316 2052 877.2 4 
317 2052 824.4 24 
318 2052 902.1 1 
319 2052 878.6 6 
320 2052 896.5 1 
321 2052 831.5 1 
322 2052 860.1 1 
323 2052 772.9 1 
324 2052 897.9 3 
325 2052 869.7 1 
326 2052 903.2 4 
327 2508 984.1 1 
328 2508 1039.7 1 
329 2508 1027.0 6 
330 2508 1046.2 8 
331 2508 1169.8 1 
332 2508 945.1 1 
333 2508 1061.4 6 
334 2508 865.4 1 
335 2508 1039.0 36 
336 2508 888.0 1 
337 2508 1277.2 8 
338 3156 1518.4 40 
339 3156 1243.5 2 
340 3156 1337.8 2 
341 3156 1207.4 1 
342 3156 1105.1 1 
343 3156 1618.7 1 
344 3156 1307.1 1 
345 3156 1252.5 2 
346 3332 1786.7 3 
347 3332 1625.0 2 
348 3332 1580.8 2 
349 3332 1516.1 1 
350 3332 1719.8 2 
351 3332 1879.1 1 
352 3332 1645.5 5 
353 3332 1803.4 4 
354 3332 1560.5 1 
355 3332 1551.5 1 
356 3332 1380.2 2 
357 3332 1491.4 2 
358 3332 1514.6 2 
359 3332 1612.9 22 
360 3332 1732.3 1 
361 3332 1580.3 2 
362 3332 1673.7 5 
363 3332 1891.4 2 
364 3332 1554.9 2 
365 3332 1958.8 2 
366 3332 1921.8 2 
367 3332 1747.5 1 
368 3332 1523.9 1 
369 3332 1332.2 4 
370 3332 1397.6 20 
371 3332 1392.6 2 
372 3332 1502.6 1 
373 3332 1681.2 4 
374 3332 1717.8 8 
375 3332 1638.8 4 
376 3332 1574.0 14 
377 3332 1306.6 1 
378 3332 1732.3 60 
379 3332 1409.0 4 
380 3332 1659.6 6 
381 3332 1588.1 2 
382 3332 1391.5 6 
383 4260 1888.1 1 
384 4260 2014.8 2 
385 4260 1868.8 4 
386 4260 1974.8 8 
387 4260 1974.8 8 
388 4260 1850.8 4 
389 4260 2462.8 4 
390 4260 2199.8 4 
391 4260 1975.4 2 
392 4260 2013.7 2 
393 4260 1904.0 4 
394 4260 2052.4 24 
395 4260 1700.6 2 
396 4260 2055.8 12 
397 4260 2001.1 1 
398 5068 2575.3 117 
399 5068 2273.3 1 
400 5068 2790.2 2 
401 5068 2094.0 1 
402 5068 2178.3 4 
403 5068 2277.6 2 
404 5068 2167.4 196 
405 5068 2155.9 1 
406 5068 1984.4 2 
407 5068 1975.0 2 
408 5068 2021.4 4 
409 5068 2547.6 116 
410 5068 2495.6 4 
411 5068 2255.8 6 
412 5772 3478.2 2 
413 5772 2473.4 2 
414 5772 2499.4 6 
415 5772 2230.3 1 
416 5772 2277.4 4 
417 5772 2521.0 2 
418 5772 2362.6 2 
419 5772 2688.8 2 
420 5772 2514.6 2 
421 5772 2862.2 2 
422 5772 2480.8 2 
423 5772 2603.7 1 
424 5772 2388.2 1 
425 5772 2563.3 1 
426 5772 2812.2 2 
427 5772 2554.9 2 
428 5772 2589.8 2 
429 5772 2280.5 2 
430 5772 2450.8 2 
431 5772 2472.0 2 
432 5772 2396.8 4 
433 5772 2427.3 2 
434 5772 2440.1 1 
435 5772 2480.4 2 
436 5772 2646.2 2 
437 5772 2638.8 2 
438 5772 2404.4 4 
439 5772 2730.4 2 
440 6092 3098.0 2 
441 6092 3265.6 2 
442 6092 2957.8 2 
443 6092 2854.8 6 
444 6092 3440.0 2 
445 6092 2821.0 2 
446 6092 2482.6 2 
447 6092 2491.6 2 
448 6092 2594.4 4 
449 6092 2581.6 4 
450 6092 2456.4 1 
451 6092 2344.6 2 
452 6092 2920.4 2 
453 6092 2757.6 2 
454 6092 2745.4 2 
455 6092 2759.0 2 
456 6092 3067.6 4 
457 6092 2833.2 2 
458 6092 2919.8 2 
459 6092 2932.5 2 
460 6092 2896.2 2 
461 6092 3428.6 2 
462 6092 3505.6 2 
463 6092 2894.2 4 
464 6092 3371.0 6 
465 6092 2915.8 2 
466 6092 3751.0 2 
467 6092 2932.2 12 
468 6092 3272.4 2 
469 6092 4052.8 2 
470 6092 3933.0 4 
471 6092 2985.8 4 
472 6092 2640.7 1 
473 6092 3301.2 2 
474 6092 3545.7 4 
475 6092 3716.9 2 
476 6092 3893.8 2 
477 6092 2615.2 2 
478 6092 2787.0 4 
479 6092 2551.8 2 
480 6092 2821.2 2 
481 6092 2910.4 12 
482 6092 3178.8 2 
483 6092 3516.2 2 
484 6092 3125.0 2 
485 6092 3253.4 2 
486 6092 3003.9 1 
487 6092 2846.5 5 
488 6092 3721.0 2 
489 6092 3577.2 2 
490 6092 3789.0 2 
491 6092 3104.9 4 
492 6092 2951.1 1 
493 6092 3822.4 2 
494 6092 3564.1 1 
495 6092 3763.3 9 
496 6092 3829.6 4 
497 6092 3076.4 2 
498 6092 3516.7 4 
499 6092 3554.2 2 
500 6092 3615.7 1 
501 6092 3133.1 2 
502 6092 3576.2 8 
503 6092 3711.8 12 
504 6092 2952.4 2 
505 6092 3539.4 2 
506 6092 2957.7 2 
507 6092 3075.8 2 
508 6092 3353.1 1 
509 6092 3067.3 1 
510 6092 2611.6 2 
511 6092 2650.0 2 
512 6092 2685.8 2 
513 6092 2968.8 12 
514 6092 2884.4 12 
515 6092 2735.1 1 
516 6092 2694.0 4 
517 6092 2575.8 2 
518 6092 2834.6 4 
519 6092 2879.4 2 
520 6092 2702.0 4 
521 6092 2709.5 2 
522 6092 3339.8 6 
523 6092 3335.2 12 
524 6092 2795.6 2 
525 6092 3022.6 6 
526 6092 2853.3 2 
527 6092 2810.8 12 
528 6092 3098.4 2 
529 6092 2941.3 9 
530 6092 3051.8 2 
531 6092 2981.7 2 
532 6092 2945.6 2 
533 6092 2987.0 2 
534 6092 3081.4 2 
535 6092 3095.4 2 
536 6092 3407.4 78 
537 6092 2745.8 2 
538 6092 2711.5 2 
539 6092 3039.8 26 
540 6092 2973.0 24 
541 6092 2839.8 6 
542 6092 2731.3 2 
543 6092 2761.9 2 
544 6092 2916.5 1 
545 6092 2641.4 4 
546 6092 2503.8 2 
547 6092 2513.2 12 
548 6092 2531.3 1 
549 6092 2678.8 12 
550 6092 2597.8 2 
551 6092 3146.9 3 
552 6092 3090.0 2 
553 6092 2815.7 1 
554 6092 3229.8 6 
555 6092 2453.9 1 
