CA# generation fitness_with_discard=0,01
0 0 4 
0 1 4 
0 2 4 
0 3 4 
0 4 4 
0 5 4 
0 6 4 
0 7 4 
0 8 4 
0 9 4 
0 10 4 
0 11 4 
0 12 4 
0 13 4 
0 14 4 
0 15 12 
0 16 12 
0 17 12 
0 18 12 
0 19 12 
0 20 12 
0 21 12 
0 22 12 
0 23 12 
0 24 12 
0 25 20 
0 26 20 
0 27 116 
0 28 116 
0 29 124 
0 30 292 
0 31 292 
0 32 292 
0 33 292 
0 34 328 
0 35 328 
0 36 328 
0 37 328 
0 38 328 
0 39 328 
0 40 328 
0 41 328 
0 42 328 
0 43 328 
0 44 328 
0 45 388 
0 46 388 
0 47 388 
0 48 388 
0 49 388 
0 50 388 
0 51 388 
0 52 388 
0 53 472 
0 54 472 
0 55 472 
0 56 472 
0 57 472 
0 58 472 
0 59 472 
0 60 472 
0 61 564 
0 62 564 
0 63 564 
0 64 564 
0 65 564 
0 66 808 
0 67 808 
0 68 820 
0 69 820 
0 70 820 
0 71 820 
0 72 820 
0 73 1720 
0 74 1720 
0 75 1720 
0 76 1720 
0 77 1720 
0 78 1720 
0 79 1720 
0 80 1720 
0 81 1720 
0 82 1720 
0 83 1720 
0 84 1720 
0 85 1720 
0 86 1720 
0 87 1720 
0 88 1720 
0 89 1956 
0 90 1956 
0 91 1956 
0 92 1956 
0 93 1956 
0 94 1956 
0 95 1956 
0 96 1956 
0 97 1956 
0 98 1956 
0 99 1956 
0 100 1956 
0 101 1956 
0 102 1956 
0 103 1956 
0 104 1956 
0 105 1956 
0 106 1956 
0 107 1956 
0 108 1956 
0 109 1956 
0 110 1956 
0 111 1956 
0 112 1956 
0 113 1956 
0 114 1956 
0 115 1956 
0 116 1956 
0 117 1956 
0 118 1956 
0 119 1956 
0 120 1956 
0 121 1956 
0 122 1956 
0 123 1956 
0 124 1956 
0 125 1956 
0 126 1956 
0 127 1956 
0 128 1956 
0 129 1956 
0 130 1956 
0 131 1956 
0 132 1956 
0 133 1956 
0 134 1956 
0 135 1956 
0 136 1956 
0 137 1956 
0 138 1956 
0 139 1956 
0 140 1956 
0 141 1956 
0 142 1956 
0 143 2472 
0 144 2472 
0 145 2472 
0 146 2472 
0 147 2472 
0 148 2472 
0 149 2472 
0 150 2472 
0 151 2472 
0 152 2472 
0 153 2472 
0 154 2472 
0 155 2472 
0 156 3364 
0 157 3364 
0 158 3364 
0 159 3364 
0 160 3364 
0 161 3364 
0 162 3364 
0 163 3364 
0 164 3364 
0 165 3364 
0 166 3364 
0 167 3364 
0 168 3364 
0 169 3364 
0 170 3364 
0 171 3364 
0 172 3364 
0 173 3364 
0 174 3364 
0 175 3364 
0 176 3364 
0 177 3364 
0 178 3364 
0 179 3364 
0 180 3364 
0 181 3364 
0 182 3364 
0 183 3364 
0 184 3364 
0 185 3364 
0 186 3364 
0 187 3364 
0 188 3364 
0 189 3364 
0 190 3364 
0 191 3364 
0 192 3364 
0 193 3364 
0 194 3364 
0 195 3364 
0 196 3364 
0 197 3364 
0 198 3364 
0 199 3364 
0 200 3364 
0 201 3364 
0 202 3364 
0 203 3364 
0 204 3364 
0 205 3364 
0 206 3364 
0 207 3364 
0 208 3364 
0 209 3836 
0 210 3836 
0 211 3836 
0 212 3836 
0 213 3836 
0 214 3836 
0 215 3836 
0 216 3836 
0 217 3836 
0 218 3836 
0 219 3836 
0 220 3836 
0 221 3836 
0 222 3836 
0 223 3836 
0 224 3836 
0 225 3836 
0 226 3836 
0 227 3836 
0 228 3836 
0 229 3836 
0 230 3836 
0 231 3836 
0 232 3836 
0 233 3836 
0 234 3836 
0 235 3836 
0 236 3836 
0 237 3836 
0 238 3836 
0 239 3836 
0 240 3836 
0 241 3836 
0 242 3836 
0 243 3836 
0 244 3836 
0 245 3836 
0 246 3836 
0 247 3836 
0 248 3836 
0 249 3836 
0 250 3836 
0 251 3836 
0 252 3836 
0 253 3836 
0 254 3836 
0 255 3836 
0 256 3836 
0 257 3836 
0 258 3836 
0 259 3836 
0 260 3836 
0 261 3836 
0 262 3836 
0 263 3836 
0 264 3836 
0 265 3836 
0 266 3836 
0 267 3836 
0 268 3836 
0 269 3836 
0 270 3836 
0 271 3836 
0 272 3836 
0 273 3836 
0 274 3836 
0 275 3836 
0 276 3836 
0 277 3836 
0 278 3836 
0 279 3836 
0 280 3836 
0 281 3836 
0 282 3836 
0 283 3836 
0 284 5536 
0 285 5536 
0 286 5536 
0 287 5536 
0 288 5536 
0 289 5536 
0 290 5536 
0 291 5536 
0 292 5536 
0 293 5536 
0 294 5536 
0 295 5536 
0 296 5536 
0 297 5536 
0 298 5536 
0 299 5536 
0 300 5536 
0 301 5536 
0 302 5536 
0 303 5536 
0 304 5536 
0 305 5536 
0 306 5536 
0 307 5536 
0 308 5536 
0 309 5536 
0 310 5536 
0 311 5536 
0 312 5536 
0 313 5536 
0 314 5536 
0 315 6852 
0 316 6852 
0 317 6852 
0 318 6852 
0 319 6852 
0 320 6852 
0 321 6852 
0 322 7408 
0 323 7408 
0 324 7408 
0 325 7408 
0 326 7408 
0 327 8320 
0 328 8320 
0 329 8320 
0 330 8320 
0 331 8320 
0 332 8320 
0 333 8320 
0 334 8320 
0 335 8320 
0 336 8320 
0 337 8320 
0 338 8320 
0 339 8320 
0 340 8320 
0 341 8320 
0 342 8320 
0 343 8320 
0 344 8320 
0 345 8320 
0 346 8320 
0 347 8320 
0 348 8320 
0 349 8320 
0 350 8320 
0 351 8320 
0 352 8320 
0 353 8320 
0 354 8320 
0 355 8320 
0 356 8320 
0 357 8320 
0 358 8320 
0 359 8320 
0 360 8320 
0 361 8320 
0 362 8320 
0 363 8320 
0 364 8320 
0 365 8320 
0 366 8320 
0 367 8320 
0 368 8320 
0 369 8320 
0 370 8320 
0 371 8320 
0 372 8320 
0 373 8320 
0 374 8320 
0 375 8320 
0 376 8320 
0 377 8320 
0 378 8320 
0 379 8320 
0 380 8320 
0 381 8320 
0 382 8320 
0 383 8320 
0 384 8320 
0 385 8320 
0 386 8320 
0 387 8320 
0 388 8320 
0 389 8320 
0 390 8320 
0 391 8320 
0 392 8320 
0 393 8320 
0 394 8320 
0 395 8320 
0 396 8320 
0 397 8320 
0 398 8320 
0 399 8320 
0 400 8320 
0 401 8320 
0 402 8320 
0 403 8320 
0 404 8320 
0 405 8320 
0 406 8320 
0 407 8320 
0 408 8320 
0 409 8320 
0 410 8320 
0 411 8320 
0 412 8320 
0 413 8320 
0 414 8320 
0 415 8320 
0 416 8320 
0 417 8320 
0 418 8320 
0 419 8320 
0 420 8320 
0 421 8320 
0 422 8320 
0 423 8320 
0 424 8320 
0 425 8320 
0 426 8320 
0 427 8320 
0 428 8320 
0 429 8320 
0 430 8320 
0 431 8320 
0 432 8320 
0 433 8320 
0 434 8320 
0 435 8320 
0 436 8320 
0 437 8320 
0 438 8320 
0 439 8320 
0 440 8320 
0 441 8320 
0 442 8320 
0 443 8320 
0 444 8320 
0 445 8320 
0 446 8320 
0 447 8320 
0 448 8320 
0 449 8320 
0 450 8320 
0 451 8320 
0 452 8320 
0 453 8320 
0 454 8320 
0 455 8320 
0 456 8320 
0 457 8320 
0 458 8320 
0 459 8320 
0 460 8320 
0 461 8320 
0 462 8320 
0 463 8320 
0 464 8320 
0 465 8320 
0 466 8320 
0 467 8320 
0 468 8320 
0 469 8320 
0 470 8320 
0 471 8320 
0 472 8320 
0 473 8320 
0 474 8320 
0 475 8320 
0 476 8320 
0 477 8320 
0 478 8320 
0 479 8320 
0 480 8320 
0 481 8320 
0 482 8320 
0 483 8320 
0 484 8320 
0 485 8320 
0 486 8320 
0 487 8320 
0 488 8320 
0 489 8320 
0 490 8320 
0 491 8320 
0 492 8320 
0 493 8320 
0 494 8320 
0 495 8320 
0 496 8320 
0 497 8320 
0 498 8320 
0 499 8320 
0 500 8320 
0 501 8320 
